  Evaluate CLD2 small 20140122 256k
 Language				Precision				Recall				F-measure
 Name	Code	Script		Top five	N.det	%		Top five	N.act	%		fraction	Code
AFRIKAANS	af	Latn		af_100.00 	10991	100.00		af_99.89 af*_0.11 	11003	99.89		0.9995	af
ALBANIAN	sq	Latn		sq_100.00 	10315	100.00		sq_100.00 	10315	100.00		1.0000	sq
ARABIC	ar	Arab		ar_99.99 ur_0.01 	7127	99.99		ar_100.00 	7126	100.00		0.9999	ar
AZERBAIJANI	az	Latn		az_100.00 	7297	100.00		az_99.90 az*_0.10 	7304	99.90		0.9995	az
BASQUE	eu	Latn		eu_100.00 	2559	100.00		eu_99.96 eu*_0.04 	2560	99.96		0.9998	eu
BELARUSIAN	be	Cyrl		be_100.00 	783	100.00		be_100.00 	783	100.00		1.0000	be
BENGALI	bn	Beng		bn_100.00 	11955	100.00		bn_99.99 un*_0.01 	11956	99.99		1.0000	bn
BIHARI	bh	Deva		bh_98.06 hi_0.97 mr_0.97 	103	98.06		bh_64.33 hi_35.67 	157	64.33		0.7769	bh
BOSNIAN	bs	Latn		bs_70.42 hr_16.92 sr_12.63 sl_0.03 	7912	70.42		bs_62.60 hr_28.28 sr_7.61 un*_0.79 bs*_0.72 	8901	62.60		0.6628	bs
BULGARIAN	bg	Cyrl		bg_100.00 	11155	100.00		bg_99.42 bg*_0.53 sr_0.05 	11220	99.42		0.9971	bg
CATALAN	ca	Latn		ca_100.00 	10916	100.00		ca_99.86 ca*_0.14 	10931	99.86		0.9993	ca
CEBUANO	ceb	Latn		ceb_100.00 	123	100.00		ceb_100.00 	123	100.00		1.0000	ceb
CROATIAN	hr	Latn		hr_71.10 bs_20.20 sr_8.69 	12458	71.10		hr_84.08 bs_12.71 sr_2.18 hr*_0.76 un*_0.27 	10535	84.08		0.7705	hr
CZECH	cs	Latn		cs_99.95 sk_0.05 	11117	99.95		cs_99.73 sk_0.26 cs*_0.01 	11141	99.73		0.9984	cs
Chinese	zh	Hani		zh_97.55 zh-Hant_2.45 	12669	97.55		zh_99.79 zh-Hant_0.10 zh*_0.09 un*_0.02 	12384	99.79		0.9865	zh
ChineseT	zh-Hant	Hani		zh-Hant_99.90 zh_0.10 	12839	99.90		zh-Hant_97.24 zh_2.36 zh-Hant*_0.20 un*_0.17 ja_0.02 	13190	97.24		0.9855	zh-Hant
DANISH	da	Latn		da_99.94 no_0.06 	10570	99.94		da_99.82 no_0.17 da*_0.01 	10583	99.82		0.9988	da
